# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
335; 1; 6.1898224823853354e-01
234; 1; 5.9725329824506768e-01
338; 1; 4.9703175961981039e-01
4; 1; 4.2160911792667899e-01
347; 1; 3.9850311865155524e-01
345; 1; 3.6092668112324516e-01
147; 1; 3.2448070218554637e-01
47; 1; 3.1618758581756456e-01
341; 1; 2.5745090772180412e-01
337; 1; 2.3423202477595242e-01
336; 1; 2.0888544717545282e-01
315; 1; 1.6816275349356877e-01
340; 1; 1.4783836405562725e-01
344; 1; 1.4529971490089197e-01
346; 1; 9.5044694975166530e-02
348; 1; 5.5127780077848292e-02
# FractureId; NumTraces
23; 28
# TraceId; Tips; Length
235; 0; 9.8131160857697952e-01
316; 0; 9.6237669143164084e-01
220; 0; 7.5816410239208876e-01
268; 0; 7.2374329895625011e-01
121; 0; 7.1387476419108054e-01
48; 0; 3.2597142212739499e-01
353; 0; 2.0962264456551669e-01
352; 1; 1.3300331137214059e+00
350; 1; 9.5462523364385488e-01
166; 1; 9.1180787712735489e-01
359; 1; 8.8212758396687196e-01
362; 1; 7.4673713670490427e-01
363; 1; 6.8553782288197951e-01
354; 1; 6.8526175581343107e-01
355; 1; 6.5495659492842329e-01
357; 1; 6.4675749893412782e-01
335; 1; 6.1898224823853354e-01
356; 1; 6.0582187790190545e-01
190; 1; 6.0349437559238295e-01
349; 1; 5.9807208019662961e-01
360; 1; 5.9672111346388002e-01
148; 1; 5.4824912211249832e-01
252; 1; 4.3816375382347528e-01
207; 1; 3.1474238645272762e-01
77; 1; 1.7500582881682741e-01
361; 1; 1.2421265986495557e-01
351; 1; 7.9836739385102759e-02
358; 1; 1.8269470125619067e-02
# FractureId; NumTraces
24; 20
# TraceId; Tips; Length
372; 0; 9.1594720327221812e-01
317; 0; 4.1095894502540886e-01
253; 0; 3.7004351762862092e-01
138; 0; 3.3767888439838573e-01
236; 0; 2.9163550699945973e-01
371; 0; 2.1868792004327742e-01
367; 0; 2.0842563303540923e-01
364; 0; 1.7327692022259764e-01
349; 1; 5.9807208019662961e-01
221; 1; 4.6689682389788484e-01
167; 1; 4.1798765587969688e-01
291; 1; 3.7981880314494137e-01
365; 1; 3.2320722978942407e-01
370; 1; 2.5372247623403865e-01
269; 1; 2.4586594132640938e-01
368; 1; 2.3411656572665804e-01
366; 1; 2.0922272072655762e-01
49; 1; 2.0628574193534774e-01
369; 1; 1.4623086939220700e-01
304; 1; 2.8412567098885917e-02
# FractureId; NumTraces
25; 14
# TraceId; Tips; Length
19; 0; 3.0318395293005934e-01
122; 0; 2.5846507698565868e-01
374; 1; 8.4738823699890364e-01
377; 1; 5.8668959231179119e-01
378; 1; 5.0999038075769143e-01
50; 1; 3.6637188742059529e-01
